"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Stroman, Marcus","573186","2023","32","136.2","575","519","120","119","52",20.7,9,".231",".283","38","1","18","3",".265","-0.034"
"Kikuchi, Yusei","579328","2023","32","167.2","700","646","165","181","48",25.9,6.9,".255",".315","45","0","17","4",".249",".006"
"Gausman, Kevin","592332","2023","32","185.0","763","700","163","237","55",31.1,7.2,".233",".324","54","1","11","3",".235","-0.002"
"Gray, Jon","592351","2023","31","157.1","656","582","149","142","54",21.6,8.2,".256",".299","28","1","14","9",".260","-0.004"
"Smyly, Drew","592767","2023","34","142.1","626","554","147","141","56",22.5,8.9,".265",".307","24","4","10","6",".241",".024"
"Taillon, Jameson","592791","2023","31","154.1","655","604","156","140","41",21.4,6.3,".258",".292","49","0","14","5",".259","-0.001"
"Walker, Taijuan","592836","2023","30","172.2","733","650","155","138","71",18.8,9.7,".238",".273","111","5","12","8",".248","-0.010"
"Williams, Trevor","592866","2023","31","144.1","658","593","178","111","52",16.9,7.9,".300",".316","62","0","9","5",".281",".019"
"Germán, Domingo","593334","2023","30","108.2","444","401","83","114","34",25.7,7.7,".207",".233","29","0","6","6",".238","-0.031"
"Rodriguez, Eduardo","593958","2023","30","152.2","621","563","128","143","48",23,7.7,".227",".275","5","0","12","3",".247","-0.020"
"Weaver, Luke","596133","2023","29","123.2","563","515","155","109","40",19.4,7.1,".301",".331","27","0","7","4",".286",".015"
"Gomber, Austin","596295","2023","29","139.0","603","552","164","87","43",14.4,7.1,".297",".314","19","0","22","3",".292",".005"
"Pivetta, Nick","601713","2023","30","142.2","587","528","110","183","50",31.2,8.5,".208",".269","11","0","8","6",".223","-0.015"
"Bassitt, Chris","605135","2023","34","200.0","826","749","176","186","59",22.5,7.1,".235",".274","50","0","19","12",".241","-0.006"
"Clevinger, Mike","605182","2023","32","131.1","549","496","121","110","40",20,7.3,".244",".282","45","3","11","9",".239",".005"
"Houser, Adrian","605288","2023","30","111.1","481","443","121","96","34",20,7.1,".273",".320","21","0","10","1",".262",".011"
"Nola, Aaron","605400","2023","30","193.2","793","741","178","202","45",25.5,5.7,".240",".286","53","1","18","1",".240",".000"
"Snell, Blake","605483","2023","30","180.0","742","636","115","234","99",31.5,13.3,".181",".256","32","0","14","3",".208","-0.027"
"Rea, Colin","607067","2023","32","124.2","517","468","110","110","38",21.3,7.4,".235",".257","34","0","10","4",".253","-0.018"
"Glasnow, Tyler","607192","2023","29","120.0","485","444","93","162","37",33.4,7.6,".209",".294","6","0","8","1",".218","-0.009"
"Martinez, Nick","607259","2023","32","110.1","461","413","99","106","40",23,8.7,".240",".294","13","1","11","3",".245","-0.005"
